Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FLC - ALL - Notify Me,Windows - Chrome 99.0.4844.51,,,2022-06-15 09:34:03,2022-06-15 09:36:12,2m - 8.850s,FAILED
,,,,,,,
Test Cases/FLC/Notify Me/JP - Notify Me,Windows - Chrome 99.0.4844.51,,,2022-06-15 09:34:03,2022-06-15 09:36:12,2m - 8.583s,FAILED
"openBrowser("""")",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:34:04,2022-06-15 09:35:11,1m - 7.007s,PASSED
maximizeWindow(),Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:11,2022-06-15 09:35:12,0.785s,PASSED
RN = Math.random() * 10000000,Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:12,2022-06-15 09:35:12,0.020s,PASSED
"locale = ""jp""",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:12,2022-06-15 09:35:12,0.001s,PASSED
"brand = ""FLC""",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:12,2022-06-15 09:35:12,0.001s,PASSED
"email = ""testMail"" + RN + ""@yopmail.com""",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:12,2022-06-15 09:35:12,0.001s,PASSED
"navigateToUrl(""https://storefront:may2019@test.falconeri.com/jp/product/basic-baumwollhose-UPL0004.html?dwvar_UPL0004_Z_COL_FALCU=8493"")",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:12,2022-06-15 09:35:19,7.024s,PASSED
"enhancedClick(findTestObject(""FLC/AT/Page_Basic-Baumwollhose - Homewear  Falconeri/div_XXXXL""))",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:19,2022-06-15 09:35:54,35.159s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), 10)",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:35:54,2022-06-15 09:36:07,12.771s,PASSED
"setText(findTestObject(""Object Repository/FLC/DE/Page_Jacke Aus Cashmere Ultralight - Cardig_bdd78b/input_DML261G_emailNotify""), email)",Windows - Chrome 99.0.4844.51,,,2022-06-15 09:36:07,2022-06-15 09:36:12,5.520s,FAILED
